escenario,for_name,loc_name,clase,tap_actual,tap_hv,tap_mv,tap_lv,outserv
P02,WSPM2E_WCES2K-T1,138/13.8 kV Transformador CESPM 2,ElmTr2,0,,,,0
P02,WSPM2E_WCES1K-T1,138/13.8 kV Transformador CESPM 1,ElmTr2,0,,,,0
P02,WENE4E_WXEN4K-T1,138/13.8 kV Transformador ENERGAS 4 TG,ElmTr2,0,,,,0
P02,WENE4E_WXEV4K-T1,138/13.8 kV Transformador ENERGAS 4 TV,ElmTr2,0,,,,0
P02,WCEMEE_WCEMEK-T1,138/13.8 kV Transformador CEMEX,ElmTr2,0,,,,0
P02,WCEMEE_WCEMEK-T2,138/13.8 kV Trafo 2 CEMEX 40 MVA,ElmTr2,3,,,,0
P02,WCUMAE_WXCU1K-T1,138/34.5 kV Transformador PF Cumayasa 1,ElmTr2,0,,,,0
P02,WCUMBE_WXCU2K-T1,138/34.5 kV Transformador PF Cumayasa 2,ElmTr2,0,,,,0
P02,WCUMBE_WXCU4K-T1,138/34.5 kV Transformador PF Cumayasa 4,ElmTr2,1,,,,0
P02,WLORIE_WLORIK-T1,138/12.47 kV Transformador Los Orígenes,ElmTr2,1,,,,0
P02,WSPBEE_WSPB1K-T1,138/13.8 kV Transformador SP Bio-Energy,ElmTr2,5,,,,0
P02,WSPMAE_WSPMAF-T1,138/69 kV Transformador SPM,ElmTr2,9,,,,0
P02,WHMA2E_WHMA2F-T1,138/69 kV Transformador Hato Mayor 2,ElmTr2,11,,,,0
P02,WESOCE_WESOCK-T1,138/34.5 kV Transformador PS El Soco,ElmTr2,0,,,,0
P02,WCOTOE_WCSO1K-T1,138/34.5 kV Cotoperí T1,ElmTr2,0,,,,0
P02,WCOTOE_WCSO2K-T1,138/34.5 kV Cotoperí T2,ElmTr2,0,,,,0
P02,WCOTOE_WCSO3K-T1,138/34.5 kV Cotoperí T3,ElmTr2,0,,,,0
P02,WCOAPE_WCOA1K-T1,138/34.5 kV Transformador PF Coastal T1,ElmTr2,0,,,,0
P02,WCOAPE_WCOA2K-T1,138/34.5 kV Transformador PF Coastal T2,ElmTr2,0,,,,0
P02,WZSANE_WZSANF-T1,138/69 kV Transformador ZF Santiago,ElmTr2,9,,,,0
P02,WBON2E_WBON2F-T1,138/69 kV Transformador Bonao 2,ElmTr2,12,,,,0
P02,WZMONK_WCEMOK-T1,13.8/4.16 kV Transformador CE Monción,ElmTr2,0,,,,0
P02,WMONCE_WMONCK-T2,138/13.8 kV Transformador Monción 2,ElmTr2,2,,,,0
P02,WMONCE_WMONCK-T1,138/13.8 kV Transformador Monción 1,ElmTr2,2,,,,0
P02,WMONCK_WZMONK-T1,13.8/4.16 kV Transformador Zona Monción,ElmTr2,0,,,,0
P02,WPIMEE_WPIM3K-T1,138/13.8 kV Trafo Pimentel Grupo 3,ElmTr2,1,,,,0
P02,WPIMEE_WPIM2K-T1,138/13.8 kV Trafo Pimentel Grupo 2,ElmTr2,1,,,,0
P02,WPIMEE_WPIM1K-T1,138/13.8 kV Trafo Pimentel Grupo 1,ElmTr2,1,,,,0
P02,WCANAE_WCANBF-T2,138/69 kV Transformador 2 Canabacoa,ElmTr2,15,,,,0
P02,WCANAE_WCANBF-T1,138/69 kV Transformador Canabacoa,ElmTr2,16,,,,0
P02,WPPL2E_WPPL2F-T1,138/69 kV Trafo Puerto Plata 2,ElmTr2,16,,,,0
P02,WNAG2E_WNAG2F-T1,138/69 kV Transformador Nagua 2,ElmTr2,14,,,,0
P02,WLANGE_WLANGK-T1,138/13.8 Transformador López Angostura,ElmTr2,0,,,,0
P02,WFALCE_WFALCK-T1,138/34.5 kV Transformador FALCONDO,ElmTr2,5,,,,1
P02,WTAVBE_WBAI1K-T1,12.47/0.44 kV Transfomador 1 Baiguaque,ElmTr2,-3,,,,0
P02,WTAVBE_WBAI2K-T1,34.5/12.47 kV Trafo Jánico,ElmTr2,-3,,,,0
P02,WTAVBE_WTAV2K-T1,138/13.8 kV Transformador Tavera 2,ElmTr2,2,,,,0
P02,WTAVEE_WTAV1K-T1,138/13.8 kV Transformador Tavera 1,ElmTr2,2,,,,0
P02,WFALCF_WFALCK-T1,69/34.5 kV Transformador FALCONDO,ElmTr2,3,,,,1
P02,WSAJ1E_WSAJOK-T1,138/34.5 kV Transformador PF SAJOMA,ElmTr2,0,,,,0
